Traffic Intensity (rho),Generation Rate (lambda),Generated,Delivered,Dropped,Drop Probability,Avg Queueing Delay,Avg End-to-End Delay,Max Queue Occupancy
0.10,8.33,100000,100000,0,0.000000,0.000676,0.016776,5
0.20,16.67,100000,100000,0,0.000000,0.001529,0.017629,6
0.30,25.00,100000,100000,0,0.000000,0.002588,0.018688,6
0.40,33.33,100000,100000,0,0.000000,0.004108,0.020208,8
0.50,41.67,100000,100000,0,0.000000,0.006124,0.022224,12
0.60,50.00,100000,100000,0,0.000000,0.009210,0.025310,12
0.70,58.33,100000,100000,0,0.000000,0.013940,0.030040,17
0.80,66.67,100000,100000,0,0.000000,0.026768,0.042868,24
0.90,75.00,100000,100000,0,0.000000,0.059528,0.075628,40
0.95,79.17,100000,99940,60,0.000600,0.127314,0.143414,50
1.00,83.33,100000,98587,1413,0.014130,0.332833,0.348933,50
1.10,91.67,100000,90029,9971,0.099710,0.535306,0.551406,50
1.20,100.00,100000,83015,16985,0.169850,0.560836,0.576936,50
